Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
"$13,500 ",23,"46,986",Diesel,90,1,0,2000,3,1165
"$13,750 ",23,"72,937",Diesel,90,1,0,2000,3,1165
"$13,950 ",24,"41,711",Diesel,90,1,0,2000,3,1165
"$14,950 ",26,"48,000",Diesel,90,0,0,2000,3,1165
"$13,750 ",30,"38,500",Diesel,90,0,0,2000,3,1170
"$12,950 ",32,"61,000",Diesel,90,0,0,2000,3,1170
"$16,900 ",27,"94,612",Diesel,90,1,0,2000,3,1245
"$18,600 ",30,"75,889",Diesel,90,1,0,2000,3,1245
"$21,500 ",27,"19,700",Petrol,192,0,0,1800,3,1185
"$12,950 ",23,"71,138",Diesel,69,0,0,1900,3,1105
"$20,950 ",25,"31,461",Petrol,192,0,0,1800,3,1185
"$19,950 ",22,"43,610",Petrol,192,0,0,1800,3,1185
"$19,600 ",25,"32,189",Petrol,192,0,0,1800,3,1185
"$21,500 ",31,"23,000",Petrol,192,1,0,1800,3,1185
"$22,500 ",32,"34,131",Petrol,192,1,0,1800,3,1185
"$22,000 ",28,"18,739",Petrol,192,0,0,1800,3,1185
"$22,750 ",30,"34,000",Petrol,192,1,0,1800,3,1185
"$17,950 ",24,"21,716",Petrol,110,1,0,1600,3,1105
"$16,750 ",24,"25,563",Petrol,110,0,0,1600,3,1065
"$16,950 ",30,"64,359",Petrol,110,1,0,1600,3,1105
"$15,950 ",30,"67,660",Petrol,110,1,0,1600,3,1105
"$16,950 ",29,"43,905",Petrol,110,0,1,1600,3,1170
"$15,950 ",28,"56,349",Petrol,110,1,0,1600,3,1120
"$16,950 ",28,"32,220",Petrol,110,1,0,1600,3,1120
"$16,250 ",29,"25,813",Petrol,110,1,0,1600,3,1120
"$15,950 ",25,"28,450",Petrol,110,1,0,1600,3,1120
"$17,495 ",27,"34,545",Petrol,110,1,0,1600,3,1120
"$15,750 ",29,"41,415",Petrol,110,1,0,1600,3,1120
"$16,950 ",28,"44,142",Petrol,110,0,0,1600,3,1120
"$17,950 ",30,"11,090",Petrol,110,1,0,1600,3,1120
"$12,950 ",29,"9,750",Petrol,97,1,0,1400,3,1100
"$15,750 ",22,"35,199",Petrol,97,1,0,1400,3,1100
"$15,950 ",27,"29,510",Petrol,97,1,0,1400,3,1100
"$14,950 ",26,"32,692",Petrol,97,1,0,1400,3,1100
"$15,500 ",22,"41,000",Petrol,97,1,0,1400,3,1100
"$15,750 ",26,"43,000",Petrol,97,0,0,1400,3,1100
"$15,950 ",25,"25,000",Petrol,97,0,0,1400,3,1100
"$14,950 ",23,"10,000",Petrol,97,1,0,1400,3,1100
"$15,750 ",32,"25,329",Petrol,97,1,0,1400,3,1100
"$14,750 ",27,"27,500",Petrol,97,0,0,1400,3,1100
"$13,950 ",22,"49,059",Petrol,97,0,0,1400,3,1100
"$16,750 ",27,"44,068",Petrol,97,1,0,1400,3,1100
"$13,950 ",22,"46,961",Petrol,97,0,0,1400,3,1100
"$16,950 ",27,"110,404",Diesel,90,0,0,2000,5,1255
"$16,950 ",22,"100,250",Diesel,90,0,0,2000,5,1255
"$19,000 ",23,"84,000",Diesel,90,0,0,2000,5,1270
"$17,950 ",27,"79,375",Diesel,90,1,0,2000,5,1255
"$15,800 ",22,"75,048",Petrol,97,1,0,1400,5,1110
"$17,950 ",22,"72,215",Diesel,90,1,0,2000,5,1255
"$21,950 ",31,"64,982",Petrol,192,1,0,1800,5,1195
"$17,950 ",22,"62,636",Diesel,90,1,0,2000,5,1255
"$15,750 ",30,"57,086",Petrol,97,1,0,1400,5,1110
"$20,500 ",26,"56,000",Petrol,110,1,1,1600,5,1180
"$21,950 ",27,"49,866",Petrol,192,1,0,1800,5,1195
"$15,500 ",25,"49,163",Petrol,110,0,1,1600,5,1165
"$13,250 ",32,"45,725",Petrol,110,1,0,1600,5,1075
"$15,250 ",28,"43,210",Petrol,97,0,0,1400,5,1110
"$15,250 ",26,"43,000",Petrol,97,0,0,1400,5,1110
"$18,950 ",23,"39,704",Petrol,110,1,1,1600,5,1180
"$15,999 ",30,"38,950",Petrol,110,1,0,1600,5,1130
"$14,950 ",22,"37,400",Petrol,97,1,0,1400,5,1110
"$16,500 ",27,"37,177",Petrol,110,0,0,1600,5,1130
"$18,750 ",31,"36,544",Petrol,110,1,0,1600,5,1130
"$17,950 ",30,"33,511",Petrol,110,1,0,1600,5,1130
"$17,950 ",27,"32,809",Petrol,97,1,0,1400,5,1110
"$16,950 ",26,"32,181",Petrol,110,1,0,1600,5,1075
